CNTYVTD,VTDKEY,BidenD_20G_President,TrumpR_20G_President,JorgensenL_20G_President,HawkinsG_20G_President,Write-InW_20G_President
0010001,1,357,791,13,1,2
0010002,2,205,1548,14,2,0
0010003,3,118,746,7,2,0
0010004,4,117,1031,8,0,0
0010005,5,12,203,0,0,0
0010006,6,389,388,2,4,0
0010007,7,462,167,3,0,0
0010008,8,92,75,3,1,0
0010009,9,160,737,5,0,0
0010010,10,42,327,0,0,0
0010011,11,202,643,8,0,1
0010013,12,316,785,9,0,0
0010015,13,79,578,2,1,1
0010016,14,106,519,4,2,0
0010017,15,127,489,5,2,0
0010018,16,215,1211,11,1,0
0010019,17,346,1118,15,1,1
0010020,18,180,551,11,3,0
0010021,19,183,1086,3,1,1
0010022,20,105,640,5,0,0
0010023,21,99,876,2,1,0
0010024,22,43,601,4,0,0
0030001,23,184,1131,13,1,0
0030002,24,207,1499,25,3,0
0030003,25,230,1252,12,3,0
0030004,26,228,1055,10,3,0
0050001,27,121,163,0,0,0
0050002,28,996,349,10,6,1
0050003,29,219,968,12,4,0
0050004,30,424,702,10,2,5
0050005,31,465,607,14,7,2
0050006,32,91,343,2,1,1
0050007,33,122,914,11,1,3
0050008,34,68,513,6,0,2
0050009,35,70,152,1,1,0
0050010,36,344,368,6,3,2
0050010,37,48,53,0,0,0
0050011,38,160,1485,6,2,1
0050012,39,100,477,7,0,1
0050013,40,200,219,11,1,1
0050014,41,443,892,14,2,6
0050015,42,73,400,4,0,0
0050016,43,561,641,14,3,1
0050017,44,113,1075,4,1,1
0050018,45,144,313,3,1,1
0050019,46,355,700,9,5,4
0050020,47,1129,215,3,4,4
0050021,48,128,377,4,0,0
0050022,49,159,1161,11,1,3
0050023,50,45,340,4,0,2
0050024,51,345,1308,15,4,4
0050025,52,244,1291,10,3,4
0050026,53,153,1085,6,0,1
0050027,54,21,255,5,0,1
0050028,55,134,700,6,3,1
0050029,56,132,949,7,1,0
0050030,57,63,687,7,0,1
0050031,58,58,224,2,1,1
0050032,59,0,19,0,0,0
0050033,60,73,1026,3,2,1
0050034,61,467,1092,20,5,6
0050035,62,343,1017,9,3,5
0050037,63,59,304,5,2,1
0050038,64,49,241,2,0,0
0050039,65,108,233,3,1,0
0050040,66,182,300,1,1,0
005011,67,116,622,7,3,0
005017,68,18,296,0,1,0
0070001,69,319,1317,12,5,0
0070002,70,664,1637,21,5,0
0070003,71,843,2406,30,11,0
0070004,72,687,2307,28,4,1
007001,73,215,888,3,2,0
